idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
269;55;« Entreprise ou il fait bon vivre ! »;Je travaille chez Robert Half à temps plein depuis plus d'un an;"AvantagesEntreprise qui recrute des personnalités et qui vous fait confiance!
De nombreuses opportunitées à saisir, un accompagnement des managers et une écoute sans limite!";Inconvénientsaucun inconvénient à donner pour le poste que j'occupe.;3.6
270;55;« Chalengeante »;Je travaille chez Robert Half à temps plein depuis plus de 3 ans;AvantagesUne entreprise dynamique qui vous donne votre chance. Des possibilités d'évolutions rapides. Equipe jeune.;InconvénientsDoit encore travailler sur plus de flexibilité pour ses salariés (télétravail par exemple).;3.6
271;63;« Très bien »;J'ai travaillé chez Lacoste à temps plein plus d'un an;;;3.4
272;63;« Malhonnêtes »;J'ai travaillé chez Lacoste à temps plein plus de 3 ans;;;3.4
273;63;« Peu d'importance a l humain »;J'ai travaillé chez Lacoste à temps plein;;;3.4
274;63;« Avis »;Je travaille chez Lacoste à temps plein;;;3.4
275;63;« Croissance forte et équipe compétente »;Je travaille chez Lacoste à;;;3.4
276;63;« Bonne experience »;Je travaille chez Lacoste à temps plein;;;3.4
277;63;« Good »;Je travaille chez Lacoste à temps plein;;;3.4
278;63;« Très bien »;J'ai travaillé chez Lacoste à temps plein;;;3.4
279;63;« Avantages basiques »;Je travaille chez Lacoste à temps plein depuis plus de 3 ans;;;3.4
280;63;« Vendeur »;J'ai travaillé chez Lacoste à temps plein;;;3.4
281;63;« En demi teinte »;Je travaille chez Lacoste à temps plein;AvantagesMarque, équipes jeunes et dynamiques;InconvénientsManque de transparence, de culture du feedback;3.4
282;63;« Une belle experience mais très repetitif »;J'ai travaillé chez Lacoste à temps plein;"AvantagesBonne ambiance entre les salariés. 
Tickets restaurants.";"InconvénientsTrès épuisant... 
Très repetitif, ranger, ranger et encore ranger. 
Ce n'est pas necessaire de conseiller les clients, en general ils savent deja ce qu'ils veulent.. C'est dommage.";3.4
283;63;« Super pour apprendre »;J'ai travaillé chez Lacoste à temps plein plus d'un an;"AvantagesEsprit d'équipe
Travail à l'interntional 
Team building 
Formation";InconvénientsIl faut savoir gérer ses projets. Vous pouvez facilement faire du temps supplémentaires si vous ne savez pas dire non.;3.4
284;63;« A fuir »;J'ai travaillé chez Lacoste à temps plein;AvantagesJuste le nom !!! Salaire. De beaux produits mais à quel prix ?;InconvénientsUne culture des chiffres mais pas de l'humain;3.4
285;63;« Expérience enrichissante »;J'ai travaillé chez Lacoste à temps plein;"AvantagesBelle marque, ambiance générale, défis et challenges.
Braderies et réductions intéressantes.";InconvénientsDésorganisation (entreprise en transformation) et politique interne.;3.4
286;63;« Lacoste »;Je travaille chez Lacoste à temps partiel;AvantagesBonne équipe ainsi qu'un bon lieu de travail;InconvénientsMauvaise   equipe et  aussi ambience;3.4
287;63;« Belle marque »;J'ai travaillé chez Lacoste à temps partiel;AvantagesProduit iconique, marque historique avec un très bon story telling. De jolies remises en boutique.;InconvénientsGestion RH/paie hasardeuse et équipes supports souvent déconnectées de la réalité des magasins.;3.4
288;63;« Formateur »;J'ai travaillé chez Lacoste à temps plein;AvantagesEntreprise formatrice avec une structure interessante;InconvénientsBeaucoup de maintient quotidien et peu de development;3.4
289;63;« Une bonne entreprise mais des equipes de direction dur »;J'ai travaillé chez Lacoste à temps plein plus d'un an;AvantagesCarte ticket restos au top de bonnes primes;InconvénientsLes heures pas toujours repsectes;3.4
290;63;« Avis Lacoste marketing »;Je travaille chez Lacoste à temps plein depuis plus d'un an;Avantagesnombreux projets locaux et globaux;"Inconvénientsambiance de travail
très peu de valeur ajoutée
peu de place pour l'initiative";3.4
291;65;« Bon mais peut mieux faire »;J'ai travaillé chez Lacoste Traiteur à temps plein;;;3.5
292;65;« Motivation, obstination et etre ferme : voilà les conseils ! »;J'ai travaillé chez Lacoste Traiteur à  plus de 5 ans;;;3.5
293;67;« Cool Place to work »;J'ai travaillé chez CGIAR à  plus d'un an;AvantagesAssurance, Télétravail, Flexibilité et aménagement des horaires;InconvénientsC'ÉTAIT UN LIEU IMPRESSIONNANT. AUCUN DESAVANTAGE QUE JE PEUX DIRE;3.2
294;67;« Frustrant »;Je travaille chez CGIAR à temps plein depuis plus d'un an;AvantagesDes gens formidables travaillent au CGIAR;InconvénientsTrop de politique, de gaspillage et rétrograde;3.2
295;67;« Aucune cohérence ni continuité au sommet »;Je travaille chez CGIAR à temps plein depuis plus de 3 ans;AvantagesSalaires confortables mais qui compensent une forte précarité et une mutuelle médiocre;InconvénientsSous-effectif permanent, pas d'investissement dans les infrastructures, changement fréquents de priorités ou même de stratégie;3.2
296;69;« Très bureaucratique »;Je travaille chez Volvo Group à temps plein depuis plus de 3 ans;AvantagesGroupe international avec vrai diversité;InconvénientsProcédures super lents et lourdes;4.0
297;69;« Volvo »;Je travaille chez Volvo Group à temps plein depuis plus de 8 ans;AvantagesHierarchie plate.  Presence mondiale. Diversite des activites entre camion, bus, engins de chantier, moteurs etc;InconvénientsRH peu performante notamment pour gérer les profils internationaux . Activite dependante de la bonne sante de l'economie;4.0
298;69;« Travail intéressant et autonomie »;Je travaille chez Volvo Group à temps plein depuis plus de 10 ans;AvantagesEquilibre vie privé/ pro. Respect. Autonomie. Bonne ambiance au travail.;InconvénientsJe n'en vois pas énormement, sauf ceux d'une grosse boite avec le siège à l'étranger.;4.0
299;69;« belles opportunités au sein d'un Groupe International »;Je travaille chez Volvo Group à temps plein;Avantagesévolution profesionnelle, équilibre vie privée/vie pro, respect de la diversité;Inconvénientslatence dans les décisions;4.0
300;69;« super pour l'alternance »;J'ai travaillé chez Volvo Group à temps plein;"Avantages- dimension internationale 
- avantages rémunération / CE ...";Inconvénients- l'ambiance dépend vraiment des services dans lesquels on atterrit;4.0
301;69;« Un excellent lieu de travail très international »;J'ai travaillé chez Volvo Group à temps plein moins d'un an;AvantagesEnvironnement très international, bon salaire, bonne ambiance;InconvénientsUn peu loin du centre ville;4.0
302;69;« Bonne boîte »;Je travaille chez Volvo Group à temps plein;AvantagesMobilité facile. Contexte à l'international;InconvénientsIl n'y a pas vraiment d'inconvénient notable;4.0
303;69;« Globalement Positif »;Je travaille chez Volvo Group à temps plein depuis plus de 3 ans;"Avantages- Groupe international
- Diversité des activités et métiers proposés
- Réseau WIN - Women Inclusion Network
- Innovation forte";"Inconvénients- Management à la suédoise
- Ne pas oublier le facteur humain";4.0
304;69;« bien »;Je travaille chez Volvo Group à temps plein depuis plus de 10 ans;Avantagespostes varies dans differents metiers;Inconvénientsreorganisation trop frequentes, politique plus important que performance;4.0
305;69;« Bonne entreprise »;Je travaille chez Volvo Group à temps plein depuis plus d'un an;AvantagesAutonomie, Polyvalence, challenge, independance, vie privé;InconvénientsLe manager nous guide peu.;4.0
306;69;« Acheteur »;J'ai travaillé chez Volvo Group à temps plein;"AvantagesL'équilibre travail-vie privée
L'atmosphère particulièrement agréable
Les processus et outils d'achat de référence";"InconvénientsLe salaire est légèrement inférieur à la moyenne
Il est difficile de faire évoluer sa carrière verticalement";4.0
307;69;« Une grande entreprise respectueuse »;Je travaille chez Volvo Group à temps plein depuis plus de 10 ans;"AvantagesTous les plus d'une grande entreprise internationale - opportunités de mobilité interne (on peut rester des années voire décennies tout en changeant de job régulièrement), travailler avec des collègues du monde entier, des projets passionnants dotés de moyens importants, des possibilités de formation / dévelopemment, un package rému / avantages au dessus de la moyenne du secteur, un soucis de former les managers au...leadership etc

Une influence suédoise forte qui donne une culture dans l'ensemble respectueuse de lhumain, où les collaborateurs ont la parole, plutot un bon équilibre vie pro / persoDérouler";InconvénientsLa culture suédoise du consensus rend le processus de décision parfois très lent et lourd, ce qui peut créer des frustrations;4.0
308;69;« Groupe Volvo »;Je travaille chez Volvo Group à temps plein;AvantagesBonnes qualités de direction et de gestion;InconvénientsDifficulté de naviguer dans cette grande organisation si vous débutez dans l'entreprise;4.0
309;69;« Bon endroit où travailler »;Je travaille chez Volvo Group à temps plein;AvantagesAmbiance agréable, possibilités de développement personnel, environnement de travail flexible, bonne culture d'entreprise;InconvénientsLe processus de prise de décision est parfois lent;4.0
310;69;« Achats »;Je travaille chez Volvo Group à temps plein depuis moins d'un an;AvantagesBon équilibre entre vie professionnelle et vie privée, stimulant, formation et développement personnel bien accompagnés, diversité culturelle, stratégie globale, valeurs du groupe, culture nordique.;InconvénientsProcessus de prise de décision très lent, parfois trop familial au lieu d'être un groupe mondial compétitif, pas assez d'outils automatisés.;4.0
311;69;« Baisse de confiance »;J'ai travaillé chez Volvo Group à temps plein plus de 10 ans;AvantagesEntreprise international. La culture est assez bonne. Formations sont assez faciles à obtenir. Organisation plane. Respect de la part des gestionnaires directs.;InconvénientsBaisse de la confiance et de la satisfaction au cours des dernières années en raison des nombreuses réorganisations et sous-traitances. Le développement de carrière n'est pas transparent. Trop de politiques liées aux possibilités de carrière.;4.0
312;69;« Uptime coordinator »;Je travaille chez Volvo Group à temps plein;Avantageslogistique, SAP, weCare, MS Office, suédois;Inconvénients- - - - -;4.0
313;69;« Entreprise suédoise »;J'ai travaillé chez Volvo Group à temps plein;AvantagesPossibilités de développement de carrière;InconvénientsTrop de process et de réorganisations;4.0
314;69;« Un grand groupe »;Je travaille chez Volvo Group à temps plein;AvantagesEntreprise dynamique avec carrière et évolutions motivatantes. Un grand groupe donc une certaines rigueur dans les process;InconvénientsLa lenteur de certaines décisions ou de certains investissement. La dynamique qui n'est pas toujours au rendez vous;4.0
315;69;« Bien »;J'ai travaillé chez Volvo Group à temps plein plus d'un an;AvantagesUne bonne ambiance de travail, des collègues sympathiques;InconvénientsCertaines décisions de l'encadrement, la politique de ressources humaines;4.0
316;71;« Super »;J'ai travaillé chez Volvo Trucks à temps partiel plus d'un an;AvantagesUne bonne production de l’entreprise;InconvénientsC est Pas très bien organise;3.9
317;71;« tres bonne entreprise »;J'ai travaillé chez Volvo Trucks à temps plein plus d'un an;AvantagesTres bon environement, bonne paye, beaucoup d'avantages CE, cadre de travail agreable;Inconvénientscertain manager sont pas du tout à l'ecoute et cherche que le resultat;3.9
318;71;« Culture de travail »;J'ai travaillé chez Volvo Trucks à temps plein;AvantagesEndroit où il fait bon travailler. Des gens sympas.;InconvénientsProcessus lent de la part des ressources humaines;3.9
319;71;« Très belle entreprise »;J'ai travaillé chez Volvo Trucks à temps plein plus de 10 ans;Avantagesculture forte autour du produit et de la performance;Inconvénientspas très inclusif lorsque l'on est pas de l'entreprise;3.9
